Wcat [g],T [K],p [Mpa],F°(Anisole) [µmol s-1],F°(H2) [µmol s-1],F°(N2) [µmol s-1],F°(Ethane) [µmol s-1],F°(Hexane) [µmol s-1],F°(Phenol) [µmol s-1],F°(Cresol) [µmol s-1],F°(Benzene) [µmol s-1],F°(Toluene) [µmol s-1],F°(CH4) [µmol s-1],F°(H2O) [µmol s-1],F(Anisole) [µmol s-1],F(H2) [µmol s-1],F(N2) [µmol s-1],F(Ethane) [µmol s-1],F(Hexane) [µmol s-1],F(Phenol) [µmol s-1],F(Cresol) [µmol s-1],F(Benzene) [µmol s-1],F(Toluene) [µmol s-1],F°(CH4) [µmol s-1],F°(H2O) [µmol s-1]
2,573,0.506625,2.774,993.007,2480.159,3.100,28.200,0.000,0.000,0.000,0.000,0.000,0.000,1.291,993.007,2480.159,3.100,28.200,0.906,0.548,0.022,0.007,0.927788061,0.029304644
1,573,0.506625,2.588,248.016,1612.103,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,1.973,248.016,1612.103,0.734,28.076,0.436,0.173,0.005,0.001,0.440981603,0.006067436
0.5,573,0.506625,2.588,256.696,1488.095,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,2.295,256.696,1488.095,0.734,28.076,0.236,0.055,0.002,0.000,0.237641353,0.002172331
0.5,573,0.506625,1.294,322.421,1240.079,0.367,14.038,0.000,0.000,0.000,0.000,0.000,0.000,0.957,322.421,1240.079,0.367,14.038,0.217,0.118,0.002,0.000,0.218882018,0.002048944
0.5,573,0.506625,5.177,520.833,930.060,1.468,56.152,0.000,0.000,0.000,0.000,0.000,0.000,4.697,520.833,930.060,1.468,56.152,0.420,0.057,0.003,0.001,0.4229136,0.003841344
0.5,548,0.506625,2.589,260.417,1488.095,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,2.452,260.417,1488.095,0.734,28.076,0.117,0.019,0.000,0.000,0.117506361,0.0000335137
0.5,598,0.506625,2.589,260.417,1488.095,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,2.014,260.417,1488.095,0.734,28.076,0.418,0.151,0.004,0.001,0.421990089,0.005595836
0.5,623,0.506625,2.589,260.417,1488.095,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,1.658,260.417,1488.095,0.734,28.076,0.610,0.308,0.010,0.003,0.619424371,0.013207525
0.5,598,0.506625,1.941,99.206,1736.111,0.551,21.057,0.000,0.000,0.000,0.000,0.000,0.000,1.416,99.206,1736.111,0.551,21.057,0.300,0.222,0.002,0.001,0.3019274,0.002837452
1,573,0.506625,2.589,930.060,930.060,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,1.103,930.060,930.060,0.734,28.076,1.001,0.454,0.026,0.004,1.027088577,0.030118661
0.5,598,0.506625,3.883,868.056,1736.111,1.101,42.114,0.000,0.000,0.000,0.000,0.000,0.000,2.866,868.056,1736.111,1.101,42.114,0.735,0.270,0.010,0.002,0.745248915,0.012151443
0.5,548,0.506625,2.589,260.417,1488.095,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,2.454,260.417,1488.095,0.734,28.076,0.117,0.018,0.000,0.000,0.116804496,0.0000339967
1,573,0.506625,2.588,248.016,1612.103,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,1.973,248.016,1612.103,0.734,28.076,0.433,0.176,0.005,0.001,0.437864475,0.006185031
0.5,623,0.506625,2.589,260.417,1488.095,0.734,28.076,0.000,0.000,0.000,0.000,0.000,0.000,1.676,260.417,1488.095,0.734,28.076,0.589,0.312,0.010,0.002,0.598956615,0.011716445
